Won,Oponent,Table Pos,Is Local,Goals For,Goals Against,Manager,Keylor Navas,Casilla,Varane,Sergio Ramos,Marcelo,Danilo,Carvajal,Pepe,Arbeloa,Nacho,Kovacic,Kroos,Modric,Isco,James,Casemiro,Lucas Vázquez,Bale,Cristiano,Benzema,Jesé,Mayoral,Cheryshev,Marcos Llorente
0,Sporting,17,0,0,0,Benitez,GK0,,DF0,DF0,DF0,DF0,DF1,,,,MD1,MD0,MD0,MD0,FW1,,,FW0,FW0,,FW0,,,
1,Betis,10,1,5,0,Benitez,GK0,,DF0,DF0,DF0,DF0,,,,,MD1,MD0,MD0,FW1,MD0,MD1,,FW0,FW0,FW0,,,,
1,Espanyol,13,0,6,0,Benitez,GK0,,DF1,DF0,DF0,,DF0,DF0,,,MD1,,MD0,MD0,,MD0,FW1,FW0,FW0,FW0,,,,
1,Granada,16,1,1,0,Benitez,GK0,,DF0,,DF0,,DF0,DF0,,,MD1,MD0,MD0,MD0,,MD1,MD0,,FW0,FW0,,,FW1,
1,Athletic,5,0,2,1,Benitez,GK0,,DF0,,DF0,,DF0,DF0,,,MD0,MD0,MD0,MD0,,FW1,MD1,,FW0,FW0,MD1,,,
0,Malaga,8,1,0,0,Benitez,GK0,,DF0,,DF0,,DF0,,,DF0,FW1,MD0,MD0,MD0,,,,,FW0,FW0,FW0,,,
0,Atlético,3,0,1,1,Benitez,GK0,,DF0,DF0,DF0,,DF0,,DF1,,FW1,MD0,MD0,MD0,,MD0,,MD1,FW0,FW0,,,,
1,Levante,20,1,3,0,Benitez,GK0,,DF0,,DF0,DF0,,,,DF0,MD0,MD0,,MD0,,MD0,FW1,FW0,FW0,,MD1,,,MD1
1,Celta,6,0,3,1,Benitez,GK0,,DF0,DF0,DF0,DF0,,,,MD1,,MD0,MD0,MD1,,MD0,MD0,,FW0,,FW0,,FW1,
1,Las Palmas,11,1,3,1,Benitez,,GK0,DF0,,DF0,DF0,,,,DF0,,MD0,MD0,MD0,,MD0,MD1,,FW0,,FW0,MD1,,FW1
